rsi_period,rsi_overbought,rsi_oversold,atr_tp,atr_sl,total_profit,win_rate,max_drawdown
10,70,25,2,2.0,-0.03192999999999979,0.25,-0.031930000011925586
10,70,25,2,2.5,-0.03192999999999979,0.25,-0.031930000011925586
10,70,25,3,1.5,-0.03192999999999979,0.25,-0.031930000011925586
10,70,25,3,2.0,-0.03192999999999979,0.25,-0.031930000011925586
10,70,25,3,2.5,-0.03192999999999979,0.25,-0.031930000011925586
10,70,25,4,1.5,-0.03192999999999979,0.25,-0.031930000011925586
10,70,25,4,2.0,-0.03192999999999979,0.25,-0.031930000011925586
10,70,25,4,2.5,-0.03192999999999979,0.25,-0.031930000011925586
10,70,30,2,1.5,-0.0347599999999999,0.23076923076923078,-0.03476000000955537
10,70,30,2,2.0,-0.0347599999999999,0.23076923076923078,-0.03476000000955537
10,70,30,2,2.5,-0.0347599999999999,0.23076923076923078,-0.03476000000955537
10,70,30,3,1.5,-0.0347599999999999,0.23076923076923078,-0.03476000000955537
10,70,30,3,2.0,-0.0347599999999999,0.23076923076923078,-0.03476000000955537
10,70,30,3,2.5,-0.0347599999999999,0.23076923076923078,-0.03476000000955537
10,70,30,4,1.5,-0.0347599999999999,0.23076923076923078,-0.03476000000955537
10,70,30,4,2.0,-0.0347599999999999,0.23076923076923078,-0.03476000000955537
10,70,30,4,2.5,-0.0347599999999999,0.23076923076923078,-0.03476000000955537
10,75,20,2,1.5,-0.014040000000000052,0.2,-0.014039999994565733
10,75,20,2,2.0,-0.014040000000000052,0.2,-0.014039999994565733
10,75,20,2,2.5,-0.014040000000000052,0.2,-0.014039999994565733
10,75,20,3,1.5,-0.014040000000000052,0.2,-0.014039999994565733
10,75,20,3,2.0,-0.014040000000000052,0.2,-0.014039999994565733
10,75,20,3,2.5,-0.014040000000000052,0.2,-0.014039999994565733
10,75,20,4,1.5,-0.014040000000000052,0.2,-0.014039999994565733
10,75,20,4,2.0,-0.014040000000000052,0.2,-0.014039999994565733
10,75,20,4,2.5,-0.014040000000000052,0.2,-0.014039999994565733
10,75,25,2,1.5,-0.014040000000000052,0.2,-0.014039999994565733
10,75,25,2,2.0,-0.014040000000000052,0.2,-0.014039999994565733
10,75,25,2,2.5,-0.014040000000000052,0.2,-0.014039999994565733
10,75,25,3,1.5,-0.014040000000000052,0.2,-0.014039999994565733
10,75,25,3,2.0,-0.014040000000000052,0.2,-0.014039999994565733
10,75,25,3,2.5,-0.014040000000000052,0.2,-0.014039999994565733
10,75,25,4,1.5,-0.014040000000000052,0.2,-0.014039999994565733
10,75,25,4,2.0,-0.014040000000000052,0.2,-0.014039999994565733
10,75,25,4,2.5,-0.014040000000000052,0.2,-0.014039999994565733
10,75,30,2,1.5,-0.016870000000000163,0.16666666666666666,-0.016869999992195517
10,75,30,2,2.0,-0.016870000000000163,0.16666666666666666,-0.016869999992195517
10,75,30,2,2.5,-0.016870000000000163,0.16666666666666666,-0.016869999992195517
10,75,30,3,1.5,-0.016870000000000163,0.16666666666666666,-0.016869999992195517
10,75,30,3,2.0,-0.016870000000000163,0.16666666666666666,-0.016869999992195517
10,75,30,3,2.5,-0.016870000000000163,0.16666666666666666,-0.016869999992195517
10,75,30,4,1.5,-0.016870000000000163,0.16666666666666666,-0.016869999992195517
10,75,30,4,2.0,-0.016870000000000163,0.16666666666666666,-0.016869999992195517
10,75,30,4,2.5,-0.016870000000000163,0.16666666666666666,-0.016869999992195517
10,80,20,2,1.5,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,20,2,2.0,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,20,2,2.5,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,20,3,1.5,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,20,3,2.0,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,20,3,2.5,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,20,4,1.5,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,20,4,2.0,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,20,4,2.5,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,25,2,1.5,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,25,2,2.0,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,25,2,2.5,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,25,3,1.5,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,25,3,2.0,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,25,3,2.5,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,25,4,1.5,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,25,4,2.0,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,25,4,2.5,-0.0040199999999999125,0.3333333333333333,-0.004849999997531995
10,80,30,2,1.5,-0.006850000000000023,0.25,-0.006849999990663491
10,80,30,2,2.0,-0.006850000000000023,0.25,-0.006849999990663491
10,80,30,2,2.5,-0.006850000000000023,0.25,-0.006849999990663491
10,80,30,3,1.5,-0.006850000000000023,0.25,-0.006849999990663491
10,80,30,3,2.0,-0.006850000000000023,0.25,-0.006849999990663491
10,80,30,3,2.5,-0.006850000000000023,0.25,-0.006849999990663491
10,80,30,4,1.5,-0.006850000000000023,0.25,-0.006849999990663491
10,80,30,4,2.0,-0.006850000000000023,0.25,-0.006849999990663491
10,80,30,4,2.5,-0.006850000000000023,0.25,-0.006849999990663491
14,70,20,2,1.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,20,2,2.0,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,20,2,2.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,20,3,1.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,20,3,2.0,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,20,3,2.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,20,4,1.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,20,4,2.0,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,20,4,2.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,25,2,1.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,25,2,2.0,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,25,2,2.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,25,3,1.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,25,3,2.0,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,25,3,2.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,25,4,1.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,25,4,2.0,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,25,4,2.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,30,2,1.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,30,2,2.0,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,30,2,2.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,30,3,1.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,30,3,2.0,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,30,3,2.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,30,4,1.5,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
14,70,30,4,2.0,-0.013179999999999525,0.2857142857142857,-0.013179999994463287
